Day,google_search_koronawirus,google_news_koronawirus,youtube_kororonawirus,wikipedia_SARS-CoV-2,news_koronawirus,twitter_koronawirus,w_vir,e_kor,t_kor,w_epi,Wiki_Szerzenie_SARS-CoV-2_n,google_top_trends_cov,respirator,odpornosc,COVID-19,SARS-CoV-2,szczepionka,,maseczka ochronna,mycie rak,dezynfekcja rak,Zostan w domu,szpital jednoimienny,,ustawa antykryzysowa,wybory prezydenckie,specustawa,maseczka antywirusowa,rekawiczki lateksowe,,Pandemia COVID-19 w Polsce,Pandemia COVID-19,Poland,United States,Spain,Italy,United Kingdom,Sweden,,chlorochina,cynk,remdesivir,paracetamol,witamina c,official_incidence,tarcza antykryzysowa,kwarantanna,Lukasz Szumowski,epidemia,kaszel
2020-01-15,0,0,0,,,,,,,,,,2,4,0,0,17,,0,3,3,0,0,,0,2,1,0,0,,0,0,0,0,0,0,0,0,,0,11,0,8,12,0,0,1,0,1,11
2020-01-16,0,0,0,,,,,,,,,,0,6,0,0,21,,0,0,3,0,0,,0,8,0,0,0,,0,0,0,1,0,0,0,0,,0,8,0,18,13,0,0,0,1,0,12
2020-01-17,0,0,0,,,,,,,,,,0,4,0,0,12,,0,0,0,0,0,,0,14,1,0,0,,0,0,0,1,0,0,0,0,,0,3,0,8,7,0,0,0,0,0,14
2020-01-18,0,0,0,,,,,,,,,,1,7,0,0,16,,0,6,0,0,0,,0,19,1,0,3,,0,0,0,1,0,0,0,0,,0,6,0,14,6,0,0,0,0,0,11
2020-01-19,0,0,0,,,,,,,,,,0,5,0,0,27,,0,6,0,0,0,,0,20,1,0,1,,0,0,0,0,0,0,0,0,,0,6,0,10,11,0,0,0,0,1,11
2020-01-20,1,0,0,,,0.013242578,,,5,,,,1,5,0,0,17,,3,0,0,0,0,,0,16,1,0,1,,0,0,0,0,0,0,0,0,,0,4,0,7,6,0,0,0,0,1,9
2020-01-21,1,0,0,,,0.037079217,,,14,,,,0,5,0,0,20,,0,0,0,0,0,,0,8,2,0,0,,0,0,0,1,1,0,0,0,,0,5,0,10,20,0,0,0,1,2,13
2020-01-22,1,0,1,,,0.045024764,,,17,,,,0,7,0,0,17,,0,0,3,0,0,,0,18,0,0,0,,0,0,1,2,1,1,1,1,,0,1,0,11,10,0,0,0,0,3,13
2020-01-23,1,3,0,,,0.135074291,,,51,,,,2,9,0,0,13,,0,3,0,0,0,,0,8,1,0,0,,0,0,1,2,2,2,3,2,,0,4,0,6,8,0,0,0,0,6,11
2020-01-24,3,3,3,,,0.768069497,,,290,,,,1,3,0,0,19,,0,0,0,0,0,,0,7,0,1,0,,0,0,2,4,3,2,3,4,,0,9,0,14,13,0,0,1,1,11,12
